iter	Passed	Remaining
1505	731577	239972
1506	732117	239505
1507	732548	239001
1508	732963	238492
1509	733442	238004
1510	733890	237506
1511	734366	237017
1512	734968	236569
1513	735517	236104
1514	736048	235632
1515	736496	235134
1516	737003	234655
1517	737464	234162
1518	737959	233679
1519	738414	233183
1520	738872	232688
1521	739377	232209
1522	739811	231707
1523	740394	231251
1524	740829	230750
1525	741434	230301
1526	741861	229797
1527	742339	229308
1528	742761	228803
1529	743245	228317
1530	743700	227822
1531	744242	227353
1532	744712	226862
1533	745193	226375
1534	745728	225904
1535	746250	225429
1536	746675	224925
1537	747134	224431
1538	747657	223957
1539	748085	223453
1540	748689	223003
1541	749131	222504
1542	749666	222033
1543	750109	221534
1544	750554	221037
1545	751170	220589
1546	751587	220083
1547	752111	219608
1548	752573	219115
1549	752965	218602
1550	753454	218118
1551	753875	217613
1552	754257	217097
1553	754778	216622
1554	755236	216128
1555	755620	215614
1556	756093	215124
1557	756583	214640
1558	757089	214160
1559	757528	213662
1560	757879	213138
1561	758375	212655
1562	758955	212196
1563	759420	211705
1564	759940	211229
1565	760421	210742
1566	760894	210253
1567	761320	209751
1568	761716	209241
1569	762148	208741
1570	762589	208243
1571	763069	207756
1572	763622	207289
1573	764091	206799
1574	764607	206322
1575	765027	205819
1576	765579	205352
1577	766053	204863
1578	766489	204364
1579	766911	203862
1580	767306	203353
1581	767854	202884
1582	768391	202412
1583	768830	201915
1584	769226	201406
1585	769633	200900
1586	770158	200425
1587	770718	199959
1588	771144	199459
1589	771575	198959
1590	772043	198469
1591	772498	197976
1592	772871	197463
1593	773305	196964
1594	773701	196457
1595	774148	195962
1596	774506	195445
1597	775032	194970
1598	775505	194482
1599	776051	194012
1600	776456	193507
1601	776943	193023
1602	777504	192557
1603	777969	192067
1604	778540	191603
1605	779025	191118
1606	779470	190623
1607	779909	190127
1608	780426	189649
1609	780850	189150
1610	781486	188701
1611	781888	188196
1612	782373	187711
1613	782847	187223
1614	783336	186739
1615	783714	186229
1616	784090	185718
1617	784495	185214
1618	784952	184723
1619	785428	184236
1620	785955	183761
1621	786510	183292
1622	786994	182807
1623	787420	182309
1624	787902	181823
1625	788410	181344
1626	788824	180843
1627	789381	180374
1628	789771	179868
1629	790211	179373
1630	790680	178884
1631	791212	178410
1632	791682	177922
1633	792099	177422
1634	792524	176924
1635	792911	176417
1636	793409	175936
1637	793842	175440
1638	794237	174935
1639	794738	174454
1640	795333	173994
1641	795832	173512
1642	796413	173049
